11,4,9
11,6,11
8,11,10
1,6,1
4,5,3
8,10,11
10,11,4
3,8,11
4,9,3
8,1,9
6,4,5
2,10,5
4,1,1
1,1,10
10,9,11
6,4,9
10,11,1
2,2,5
6,4,4
1,9,5
10,7,4
5,11,8
11,9,3
2,5,10
3,8,10
11,2,7
9,3,4
3,8,1
1,8,1
4,5,1
11,2,6
8,8,8
5,11,2
11,1,7
5,6,7
2,1,6
10,7,9
9,2,8
1,11,1
6,5,2
3,1,2
9,1,11
11,9,7
8,9,6
10,8,6
9,8,4
6,7,8
11,9,4
5,9,8
5,6,8
4,7,10
9,5,2
9,9,10
2,9,4
10,5,3
3,2,5
5,11,8
2,7,1
10,6,7
7,10,8
6,7,9
11,9,3
4,9,2
10,9,9
4,3,10
5,7,9
5,2,11
8,5,1
8,2,4
6,10,6
10,3,11
4,9,1
6,1,2
9,8,7
9,5,5
2,6,7
7,11,1
11,5,7
7,6,11
6,9,5
8,2,11
2,9,8
6,9,9
7,5,9
8,7,10
9,2,4
4,11,9
11,2,2
6,11,10
5,4,3
3,9,5
2,3,2
5,3,10
4,1,5
4,1,10
4,1,1
5,10,6
8,5,4
6,8,2
2,5,3
3,6,3
